Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Dataset for Assessing Mathematics Learning in Higher Education,7/10/2024,N/A,Tabular,Engineering,"Classification, Regression, Clustering","Real, Categorical, Integer",9546,8
detection_of_IoT_botnet_attacks_N_BaIoT,3/18/2018,N/A,"Multivariate, Sequential",Computer Science,"Classification, Clustering",Real,7062606,-
Image Segmentation,10/31/1990,N/A,Multivariate,Other,Classification,Real,2310,19
Large-scale Wave Energy Farm,9/16/2023,N/A,Multivariate,Engineering,Regression,Real,63600,149
Daily Demand Forecasting Orders,11/20/2017,N/A,Time-Series,Business,Regression,Integer,60,12
Steel Industry Energy Consumption,8/13/2023,N/A,Multivariate,Physics and Chemistry,Regression,"Real, Categorical",35040,9
HIGGS,2/11/2014,N/A,-,Physics and Chemistry,Classification,Real,11000000,-
Soybean (Large),7/10/1988,N/A,Multivariate,Biology,Classification,Categorical,307,35
Multivariate Gait Data,12/14/2022,N/A,"Sequential, Multivariate, Time-Series",Health and Medicine,"Classification, Regression, Clustering","Real, Categorical, Integer",181800,7
Insurance Company Benchmark (COIL 2000),7/2/2000,N/A,Multivariate,Social Science,"Regression, Description","Categorical, Integer",9000,-
gene expression cancer RNA-Seq,6/8/2016,N/A,Multivariate,Biology,"Classification, Clustering",Real,801,20531
Autism Screening Adult,12/23/2017,N/A,-,Social Science,Classification,Integer,704,20
Facebook Live Sellers in Thailand,4/21/2019,N/A,Multivariate,Business,Clustering,Integer,7051,11
Website Phishing,11/1/2016,N/A,Multivariate,Computer Science,Classification,Integer,1353,9
Power Consumption of Tetouan City,8/13/2023,N/A,"Multivariate, Time-Series",Social Science,Regression,"Real, Integer",52417,6
Gender by Name,3/14/2020,N/A,Text,Social Science,"Classification, Clustering",-,147270,4
EEG Eye State,6/9/2013,N/A,"Multivariate, Sequential, Time-Series",Health and Medicine,Classification,"Integer, Real",14980,14
Steel Plates Faults,10/25/2010,N/A,Multivariate,Physics and Chemistry,Classification,"Integer, Real",1941,27
Ozone Level Detection,4/20/2008,N/A,"Multivariate, Sequential, Time-Series",Climate and Environment,Classification,Real,2536,72
Parkinson's Disease Classification,11/4/2018,N/A,Multivariate,Computer Science,Classification,"Integer, Real",756,754
Electrical Grid Stability Simulated Data,11/15/2018,N/A,Multivariate,Physics and Chemistry,"Classification, Regression",Real,10000,12
South German Credit,6/19/2020,N/A,Multivariate,Business,"Classification, Regression, Clustering","Integer, Real",1000,21
KDD Cup 1999 Data,12/31/1998,N/A,Multivariate,Computer Science,Classification,"Categorical, Integer",4000000,-
Vertebral Column,8/8/2011,N/A,Multivariate,Health and Medicine,Classification,Real,310,6
Beijing PM2.5,1/18/2017,N/A,"Multivariate, Time-Series",Climate and Environment,Regression,"Integer, Real",43824,11
NASA Flood Extent Detection,Linked on 1/6/2023,N/A,Image,Physical Science,Classification,Real,50000,-
Condition monitoring of hydraulic systems,4/25/2018,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,2205,43680
Horse Colic,8/5/1989,N/A,Multivariate,Biology,Classification,"Categorical, Integer, Real",368,27
Superconductivty Data,10/11/2018,N/A,Multivariate,Physics and Chemistry,Regression,Real,21263,81
Stock Portfolio Performance,4/21/2016,N/A,Multivariate,Business,Regression,Real,315,12
Lenses,7/31/1990,N/A,Multivariate,Other,Classification,Categorical,24,3
Bosch CNC Machining Dataset,Linked on 11/9/2022,N/A,"Multivariate, Time-Series",Engineering,"Classification, Clustering",Real,2700,3
CMU Face Images,6/23/1999,N/A,Image,Other,Classification,Integer,640,-
Kitsune Network Attack,10/15/2019,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Clustering, Causal-Discovery",Real,27170754,7
