Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Wilt,3/12/2014,N/A,Multivariate,Biology,Classification,-,4889,-
MiniBooNE particle identification,12/12/2010,N/A,Multivariate,Physics and Chemistry,Classification,Real,130065,-
Query Analytics Workloads Dataset,6/21/2019,N/A,Multivariate,Computer Science,"Regression, Clustering",Real,260000,8
Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset,9/2/2020,N/A,Time-Series,Health and Medicine,Classification,Real,800,9
Reuter_50_50,9/7/2011,N/A,"Multivariate, Text, Domain-Theory",Computer Science,"Classification, Clustering",Real,2500,10000
p53 Mutants,2/8/2010,N/A,Multivariate,Biology,Classification,Real,16772,5408
REJAFADA,8/14/2023,N/A,Multivariate,Computer Science,Classification,Integer,1996,6825
BLE RSSI Dataset for Indoor localization and Navigation,1/24/2018,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Clustering",Integer,6611,-
KASANDR,5/15/2017,N/A,Multivariate,Other,Other,Integer,17764280,2158859
Guitar Chords finger positions,6/4/2020,N/A,Text,Other,Classification,-,2633,5
Z-Alizadeh Sani,11/16/2017,N/A,Tabular,Health and Medicine,Classification,"Integer, Real",303,-
DSRC Vehicle Communications,12/12/2017,N/A,"Sequential, Text",Computer Science,Clustering,Real,10000,5
StoneFlakes,5/19/2014,N/A,Multivariate,Other,"Classification, Clustering, Causal-Discovery",Real,79,-
Connectionist Bench (Vowel Recognition - Deterding Data),N/A,N/A,-,Other,Classification,Real,528,10
Labeled Text Forum Threads Dataset,4/7/2019,N/A,Text,Computer Science,Classification,Integer,200,9
Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,1/9/2017,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering","Integer, Real",153540,25
Corel Image Features,6/30/1999,N/A,Multivariate,Other,-,Real,68040,-
Container Crane Controller Data Set,12/31/2017,N/A,"Univariate, Domain-Theory",Computer Science,"Classification, Regression",Real,15,-
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),4/8/2013,N/A,Sequential,Computer Science,Classification,"Integer, Real",165632,-
Facebook Large Page-Page Network,7/21/2020,N/A,Multivariate,Social Science,Classification,-,22470,4714
Synthetic Circle Data Set,6/5/2024,N/A,Multivariate,Other,"Classification, Clustering",Real,10000,2
QSAR Bioconcentration classes dataset,10/10/2019,N/A,Multivariate,Biology,"Classification, Regression",-,779,14
GNFUV Unmanned Surface Vehicles Sensor Data,5/5/2018,N/A,"Multivariate, Time-Series",Computer Science,Regression,Real,1672,-
Kinship,6/30/1990,N/A,Relational,Social Science,Relational-Learning,Categorical,104,12
Hill-Valley,3/19/2008,N/A,Sequential,Other,Classification,Real,606,101
"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",9/5/2013,N/A,Multivariate,Business,Classification,Real,111740,-
Person Classification Gait Data,3/1/2020,N/A,Multivariate,Computer Science,Classification,Real,48,321
IDA2016Challenge,1/16/2017,N/A,Multivariate,Computer Science,Classification,Integer,76000,-
Chess (Domain Theories),N/A,N/A,Domain-Theory,Games,-,-,-,-
Sponge,N/A,N/A,Multivariate,Biology,Clustering,"Categorical, Integer",76,-
Online Video Characteristics and Transcoding Time Dataset,5/18/2015,N/A,Multivariate,Computer Science,Regression,"Integer, Real",168286,-
LSVT Voice Rehabilitation,2/18/2014,N/A,Multivariate,Health and Medicine,Classification,Real,126,-
microblogPCU,3/16/2015,N/A,"Multivariate, Univariate, Sequential, Text",Computer Science,"Classification, Causal-Discovery","Integer, Real",221579,20
MicroMass,8/11/2013,N/A,Multivariate,Biology,Classification,Real,931,1300
Low Resolution Spectrometer,2/29/1988,N/A,Multivariate,Physics and Chemistry,Classification,"Integer, Real",531,102
Wikipedia Math Essentials,4/19/2021,N/A,Time-Series,Social Science,Regression,Real,731,1068
Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson's Disease,3/4/2016,N/A,Multivariate,Computer Science,"Classification, Regression, Clustering",Real,40,7
Gastrointestinal Lesions in Regular Colonoscopy,10/14/2016,N/A,Multivariate,Computer Science,Classification,Real,76,698
YouTube Comedy Slam Preference Data,4/9/2012,N/A,Text,Computer Science,Classification,-,1138562,3
Repeat Consumption Matrices,3/21/2018,N/A,Multivariate,Computer Science,Clustering,Real,130000,21000
Dexter,2/28/2008,N/A,Multivariate,Other,Classification,Integer,2600,20000
Folio,7/4/2015,N/A,Multivariate,Other,"Classification, Clustering",-,637,20
Wisesight Sentiment Corpus,8/24/2020,N/A,"Multivariate, Text",Social Science,Classification,-,26737,4
Roman Urdu Data Set,8/28/2018,N/A,Text,Computer Science,Classification,-,20000,-
CLINC150,5/7/2020,N/A,Text,Other,Classification,-,23700,-
BLOGGER,7/5/2013,N/A,Multivariate,Computer Science,Classification,-,100,-
Dataset for ADL Recognition with Wrist-worn Accelerometer,2/10/2014,N/A,"Multivariate, Time-Series",Computer Science,"Classification, Clustering",-,-,-
GNFUV Unmanned Surface Vehicles Sensor Data Set 2,9/12/2018,N/A,"Multivariate, Sequential, Time-Series",Computer Science,Regression,Real,10190,-
MEx,9/19/2019,N/A,Time-Series,Computer Science,"Classification, Clustering",Real,6262,-
selfBACK,6/14/2020,N/A,Time-Series,Computer Science,"Classification, Clustering",Real,26136,6
Quadruped Mammals,8/24/1992,N/A,"Multivariate, Data-Generator",Biology,Classification,Real,-,72
User Profiling and Abusive Language Detection Dataset,4/24/2019,N/A,-,Computer Science,Classification,-,65919,3
QSAR fish bioconcentration factor (BCF),11/26/2019,N/A,Multivariate,Biology,Regression,"Integer, Real",1056,7
extention of Z-Alizadeh sani dataset,11/16/2017,N/A,Tabular,Health and Medicine,Classification,"Integer, Real",303,-
Predict keywords activities in a online social media,12/11/2013,N/A,"Multivariate, Sequential, Time-Series",Computer Science,-,"Integer, Real",51,35
LastFM Asia Social Network,7/30/2020,N/A,Multivariate,Social Science,Classification,-,7624,7842
KEGG Metabolic Reaction Network (Undirected),11/27/2011,N/A,"Multivariate, Univariate, Text",Biology,"Classification, Regression, Clustering","Integer, Real",65554,-
TamilSentiMix,8/13/2023,N/A,"Multivariate, Text",Computer Science,Classification,Categorical,15744,-
Bongabdo,9/29/2023,N/A,"Sequential, Text, Image",Computer Science,Other,-,111,-
Record Linkage Comparison Patterns,3/9/2011,N/A,Multivariate,Other,Classification,Real,5749132,-
Physical Unclonable Functions,10/7/2018,N/A,Multivariate,Computer Science,Classification,Integer,6000000,-
GitHub MUSAE,10/6/2019,N/A,Multivariate,Social Science,Classification,-,37700,4006
Detect Malacious Executable(AntiVirus),3/2/2016,N/A,Multivariate,Computer Science,Classification,Real,373,-
QSAR oral toxicity,9/30/2019,N/A,Multivariate,Physics and Chemistry,Classification,-,8992,1024
Dodgers Loop Sensor,11/30/2006,N/A,"Multivariate, Time-Series",Other,-,"Categorical, Integer",50400,-
UJIIndoorLoc-Mag,9/9/2015,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering","Integer, Real",40000,-
IPUMS Census Database,11/8/1999,N/A,Multivariate,Social Science,-,"Categorical, Integer",256932,-
"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer",12/17/2016,N/A,"Multivariate, Sequential, Time-Series",Computer Science,Classification,Real,1540,-
SIFT10M,2/22/2016,N/A,Multivariate,Computer Science,Causal-Discovery,Integer,11164866,-
181 early modern English plays: Transcriptions of early editions in TEI encoding,9/27/2022,N/A,Tabular,Other,Regression,-,181,-
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),6/19/2013,N/A,Multivariate,Computer Science,Classification,Real,403,5
Victorian Era Authorship Attribution,5/30/2018,N/A,Text,Computer Science,Classification,-,93600,1000
Demospongiae,1/20/2010,N/A,Multivariate,Biology,Classification,Integer,503,-
BAUM-1,11/8/2018,N/A,Time-Series,Computer Science,Classification,-,1184,-
Meta-data,2/29/1996,N/A,Multivariate,Other,Classification,"Categorical, Integer, Real",528,-
UNIX User Data,N/A,N/A,"Text, Sequential",Computer Science,-,-,-,-
Activities of Daily Living (ADLs) Recognition Using Binary Sensors,10/27/2013,N/A,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Clustering",-,2747,-
Nomao,7/3/2012,N/A,Univariate,Computer Science,Classification,Real,34465,-
DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,10/26/2016,N/A,Text,Computer Science,Classification,Integer,12234,8519
PANDOR,10/1/2018,N/A,Multivariate,Other,Recommendation,Categorical,48000000,-
: Simulated Data set of Iraqi tourism places,1/9/2020,N/A,Multivariate,Computer Science,"Classification, Clustering",-,232,16
2.4 GHZ Indoor Channel Measurements,11/29/2018,N/A,Multivariate,Computer Science,Classification,Real,7840,-
Online Handwritten Assamese Characters Dataset,3/31/2011,N/A,"Multivariate, Sequential",Computer Science,Classification,Integer,8235,-
E. Coli Genes,7/13/2001,N/A,Relational,Biology,-,-,-,-
Quality Assessment of Digital Colposcopies,3/7/2017,N/A,Multivariate,Health and Medicine,Classification,Real,287,-
Turkish Spam V01,4/6/2019,N/A,Text,Social Science,Classification,-,826,2
Activity Recognition from Single Chest-Mounted Accelerometer,3/1/2014,N/A,"Univariate, Sequential, Time-Series",Other,"Classification, Clustering",Real,-,-
First-order theorem proving,4/16/2013,N/A,Multivariate,Computer Science,Classification,Real,6118,-
LastFM Asia Social Network,8/21/2020,N/A,Multivariate,Social Science,Classification,-,7624,7842
Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,8/27/2017,N/A,Text,Computer Science,Classification,Integer,1075,22
Opinosis Opinion / Review,7/5/2010,N/A,Text,Computer Science,Classification,-,51,-
Bach Choral Harmony,5/19/2014,N/A,Sequential,Other,Classification,-,5665,-
OCT data & Color Fundus Images of Left & Right Eyes,10/31/2016,N/A,Multivariate,Computer Science,Classification,Real,50,-
CalIt2 Building People Counts,11/30/2006,N/A,"Multivariate, Time-Series",Other,-,"Categorical, Integer",10080,-
DBWorld e-mails,11/5/2011,N/A,Text,Computer Science,Classification,-,64,4702
M. Tuberculosis Genes,7/13/2001,N/A,Relational,Biology,-,-,-,-
Firm-Teacher_Clave-Direction_Classification,4/23/2015,N/A,Multivariate,Other,Classification,-,10800,20
chipseq,2/20/2018,N/A,Sequential,Biology,Classification,Integer,4960,-
NYSK,10/10/2013,N/A,"Multivariate, Sequential, Text",Social Science,Clustering,-,10421,7
Newspaper and magazine images segmentation dataset,7/14/2014,N/A,-,Computer Science,Classification,-,101,-
Vicon Physical Action Data Set,7/26/2011,N/A,Time-Series,Health and Medicine,Classification,Real,3000,-
Youtube cookery channels viewers comments in Hinglish,7/2/2019,N/A,"Multivariate, Text",Computer Science,Classification,-,9800,3
QtyT40I10D100K,10/20/2012,N/A,Sequential,Business,Other,Integer,3960456,-
MoCap Hand Postures,11/21/2016,N/A,Multivariate,Computer Science,"Classification, Clustering","Integer, Real",78095,-
Pioneer-1 Mobile Robot Data,1/27/1999,N/A,"Multivariate, Time-Series",Computer Science,-,"Categorical, Real",-,-
NIPS Conference Papers 1987-2015,11/22/2016,N/A,Text,Computer Science,Clustering,Integer,11463,5812
Pseudo Periodic Synthetic Time Series,2/7/1999,N/A,"Univariate, Time-Series",Other,-,-,100000,-
Nasarian CAD Dataset,2/27/2020,N/A,Multivariate,Health and Medicine,Classification,-,150,52
BLE RSSI dataset for Indoor localization,5/28/2019,N/A,"Sequential, Time-Series",Computer Science,Classification,Integer,23570,5
PubChem Bioassay Data,3/28/2011,N/A,Multivariate,Biology,Classification,"Integer, Real",-,-
Connectionist Bench (Nettalk Corpus),10/10/1954,N/A,Multivariate,Other,-,Categorical,20008,-
Miskolc IIS Hybrid IPS,7/3/2016,N/A,Text,Computer Science,"Classification, Clustering, Causal-Discovery",Integer,1540,-
Russian Corpus of Biographical Texts,6/2/2020,N/A,Text,Other,Classification,-,200,2
KDC-4007 dataset Collection,4/26/2017,N/A,"Multivariate, Text",Computer Science,"Classification, Regression",Integer,4007,-
Coil 1999 Competition Data,9/8/1999,N/A,Multivariate,Physics and Chemistry,-,"Categorical, Real",340,-
QSAR androgen receptor,9/30/2019,N/A,Multivariate,Physics and Chemistry,Classification,-,1687,1024
AAAI 2014 Accepted Papers,7/29/2014,N/A,Multivariate,Computer Science,Clustering,-,399,-
UJI Pen Characters,5/31/2007,N/A,"Multivariate, Sequential",Computer Science,Classification,Integer,1364,-
chestnut - LARVIC,5/29/2017,N/A,Multivariate,Computer Science,"Classification, Clustering",-,1451,3
MSNBC.com Anonymous Web Data,N/A,N/A,Sequential,Computer Science,-,Categorical,989818,-
MEU-Mobile KSD,5/13/2016,N/A,Multivariate,Computer Science,Classification,"Integer, Real",2856,-
UbiqLog (smartphone lifelogging),6/15/2016,N/A,Multivariate,Computer Science,Causal-Discovery,-,9782222,-
Mturk User-Perceived Clusters over Images,11/1/2016,N/A,"Multivariate, Text",Computer Science,Clustering,Integer,180,-
University of Tehran Question Dataset 2016 (UTQD.2016),9/26/2017,N/A,Text,Other,Classification,-,1175,3
Discrete Tone Image Dataset,1/19/2018,N/A,Multivariate,Computer Science,Classification,-,71,11
Reuters Transcribed Subset,3/7/2008,N/A,Text,Business,Classification,-,200,-
ICMLA 2014 Accepted Papers Data Set,2/18/2018,N/A,Multivariate,Other,"Classification, Clustering",-,105,-
"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat",10/12/2013,N/A,Domain-Theory,Other,Classification,Integer,306,5
TTC-3600: Benchmark dataset for Turkish text categorization,2/7/2017,N/A,Text,Computer Science,"Classification, Clustering",Integer,3600,4814
Badges,8/31/1994,N/A,"Univariate, Text",Other,Classification,-,294,-
Opinion Corpus for Lebanese Arabic Reviews (OCLAR),6/16/2019,N/A,Text,Computer Science,Classification,Integer,3916,3916
NSF Research Award Abstracts 1990-2003,11/17/2003,N/A,Text,Other,-,-,129000,-
PMU-UD,8/4/2018,N/A,Univariate,Computer Science,Classification,-,5180,9
AAAI 2013 Accepted Papers,7/29/2014,N/A,Multivariate,Computer Science,Clustering,-,150,-
Abscisic Acid Signaling Network,4/2/2008,N/A,Multivariate,Biology,Causal-Discovery,Integer,300,43
Northix,8/14/2012,N/A,"Multivariate, Univariate, Text",Computer Science,Classification,"Integer, Real",115,200
Function Finding,8/31/1990,N/A,-,Physics and Chemistry,Function-Learning,Real,352,-
BAUM-2,11/8/2018,N/A,Time-Series,Computer Science,Classification,-,1047,-
IIWA14-R820-Gazebo-Dataset-10Trajectories,6/8/2020,N/A,-,Computer Science,Regression,Integer,-,-
Sattriya_Dance_Single_Hand_Gestures Dataset,7/21/2019,N/A,Multivariate,Computer Science,Classification,-,1450,-
DGP2 - The Second Data Generation Program,N/A,N/A,Data-Generator,Other,-,Real,-,-
UJI Pen Characters (Version 2),1/21/2009,N/A,"Multivariate, Sequential",Computer Science,Classification,Integer,11640,-
Qualitative Structure Activity Relationships,N/A,N/A,Domain-Theory,Physics and Chemistry,-,-,-,-
AutoUniv,11/2/2010,N/A,Multivariate,Other,Classification,"Categorical, Integer, Real",-,-
Logic Theorist,N/A,N/A,Domain-Theory,Computer Science,-,-,-,-
Undocumented,N/A,N/A,-,Other,-,-,-,-
Document Understanding,10/31/1994,N/A,-,Other,-,-,-,-
Moral Reasoner,5/31/1994,N/A,Domain-Theory,Computer Science,-,-,202,-
Othello Domain Theory,1/31/1991,N/A,Domain-Theory,Games,-,-,-,-
EBL Domain Theories,N/A,N/A,-,Computer Science,-,-,-,-
Prodigy,N/A,N/A,Domain-Theory,Other,-,-,-,-
